X;Einloggen auf Plattform;Eingeben von Abfahrt- und Zielort;Eingeben der gewünschten Filteroptionen;Suchanfrage abbrechen;Auswählen der bevorzugten Routenkonfiguration;Buchen der ausgewählten Routenkonfiguration;Bezahlen;Checken der Filter;Auswählen der Mobilitätsdienstleister basierend auf Filtern;Suchen von Einzelverbindungen der Mobilitätsdienstleister;Sammeln der Teilstrecken-Ergebnisse;Sammeln von Gesamtstreckenverbindungen;Zusammensetzen von Routenkonfigurationen;Sammeln möglicher Routenkonfigurationen;Checken des Reiseprofils des Nutzenden;Treffen der Vorauswahl  basierend auf Reiseprofil;Anzeigen der vorgeschlagenen Routenkonfigurationen;Buchen der Einzelverbindungen;Anfordern des insgesamt zu zahlenden Betrags;Bezahlen der Einzelverbindungen abzüglich Vermittlungsgebühr;Buchungsvorgang abbrechen;Bestätigen der Buchung der gewählten Routenkonfiguration;Suche passender Verbindungen;Task 1;Task 3;Task 2;Task 5;Task 4;Bearbeiten der Buchungsanfrage;Task 7;Task 8;Buchungsvorgang abbrechen;Bestätigen der Buchung;
Einloggen auf Plattform;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Eingeben von Abfahrt- und Zielort;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Eingeben der gewünschten Filteroptionen;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Suchanfrage abbrechen;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Auswählen der bevorzugten Routenkonfiguration;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Buchen der ausgewählten Routenkonfiguration;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Bezahlen;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Checken der Filter;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Auswählen der Mobilitätsdienstleister basierend auf Filtern;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Suchen von Einzelverbindungen der Mobilitätsdienstleister;0;0;0;0;0;0;0;0;0;-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
